Position,ID,Name,Published,Description,Sale price,Regular price,Categories,Images,Mesure
1,1,Tomates Marmandes,1,1kg,,8.00,Produits Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/tomate-marmande.jpeg,kg
2,2,Tomates roses de Berne,1,1kg,,8.00,Produits Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/tomate-marmande.jpeg,kg
3,3,Tomates en grappes,1,1kg,,6.00,Produits Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/Tomates-en-grappes.jpg,kg
4,4,Pommes de terres fermes,1,1kg,,3.00,Produits Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/Pommes-de-terres-farineuses.jpg,kg
5,5,Pommes de terres farineuses,1,1kg,,3.00,Produits Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/Pommes-de-terres-fermes.jpg,kg
6,6,Toutes sortes de courges,1,1kg | Indiquez le type de courge que vous préférez dans les commentaires finaux,,4.00,Produits Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/Toutes-sortes-de-courges.png,kg
7,7,Courgette,0,1kg,,5.50,Produits Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/Courgette.jpg,kg
8,8,Concombre,0,pièce,,2.50,Produits Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/concombre.jpeg,unité
9,9,Raisin rouge,0,1kg,,6.50,Produits Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/concombre.jpeg,kg
10,10,Figues,0,pièce,,1.00,Produits Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/Figues.jpg,unité
11,11,Doucette,1,100 g,,3.20,Produits Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/doucette.jpg,gr
12,12,Coings,1,1kg,,3.50,Produits Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/coing.jpg,kg
13,13,Ciboulette,1,bouquet,,0.50,Aromatiques Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/bouquets-aromatiques-2.jpg,unité
14,14,Persil,1,bouquet,,1.00,Aromatiques Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/bouquets-aromatiques-2.jpg,unité
15,15,Origan,1,bouquet,,1.00,Aromatiques Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/bouquets-aromatiques-2.jpg,unité
16,16,Sauge,1,bouquet,,1.00,Aromatiques Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/bouquets-aromatiques-2.jpg,unité
17,17,Thym,1,bouquet,,1.00,Aromatiques Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/bouquets-aromatiques-2.jpg,unité
18,18,Romarin,1,bouquet,,1.00,Aromatiques Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/bouquets-aromatiques-2.jpg,unité
19,19,Sarriette,1,bouquet,,1.00,Aromatiques Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/bouquets-aromatiques-2.jpg,unité
20,20,Marrube blanc,1,bouquet,,1.00,Aromatiques Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/bouquets-aromatiques-2.jpg,unité
21,21,Immortel,1,bouquet,,1.00,Aromatiques Locaux,http://marchelocal.ch/wp-content/uploads/2023/10/bouquets-aromatiques-2.jpg,unité
22,22,Haricots,1,1kg,,9.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Haricots.jpg,kg
23,23,Panais,1,1kg,,7.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/panais.jpg,kg
24,24,Échalotes,1,1kg,,7.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/echalote.jpg,kg
25,25,Radis,1,la botte,,2.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Radis.jpg,botte
26,26,Oignons,1,la botte,,3.50,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/oignons.jpg,botte
27,27,Carotte en fannes,1,la botte,,4.50,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Carotte-en-fannes.jpg,botte
28,28,Salades,1,pièce,,3.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/salades.jpg,pièce
29,29,Aubergines,1,1kg,,7.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/aubergineS-scaled.jpg,kg
30,30,Poireaux,1,1kg,,4.50,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Poireaux.jpg,kg
31,31,Poivrons rouge,0,1kg,,7.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Poivrons-rouge.jpg,kg
32,32,Poivrons jaune,0,1kg,,7.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Poivrons-jaune.jpg,kg
33,33,Choux fleur,1,1kg,,7.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Choux-fleur.png,kg
34,34,Brocoli,1,1kg,,7.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/broccoli.png,kg
35,35,Romanesco,1,1kg,,8.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Romanesco.jpg,kg
36,36,Choux-pomme (colrave),1,pièce,,2.50,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Choux-pomme-colrave.jpg,pièce
37,37,Rutabaga,1,1kg,,7.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Rutabaga.png,kg
38,38,Betteraves crues,1,1kg,,4.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Betteraves-crues.jpg,kg
39,39,"Betteraves cuites, sous vide",1,1kg,,6.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/batterave-sous-vide.jpg,kg
40,40,"Betteraves coupées en cubes, sous vide",1,1kg,,10.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Betteraves-coupees-en-cubes-sous-vide.jpeg,kg
41,41,Rave blanche,1,1kg,,9.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Rave-blanche.jpg,kg
42,42,Endives,1,1kg,,6.50,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Endives.jpg,kg
43,43,Chou blanc,1,1kg,,5.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Chou-blanc.jpg,kg
44,44,Chou rouge,1,1kg,,5.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Chou-rouge.jpg,kg
45,45,"Poires Conférences, William, Guillot (selon saison)",1,1kg,,4.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Poires-Conferences-William-Guillot.jpg,kg
46,46,"Pommes Gala, Boscop, Gravenstein, etc (selon la saison)",1,1kg,,4.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Pommes-Gala-Boscop-Gravenstein.png,kg
47,47,Raisin chasselat,0,1kg,,9.00,Produits suisses de régions voisines,http://marchelocal.ch/wp-content/uploads/2023/10/Raisin-chasselat.jpg,kg
48,48,Pâte feuilletée maison au beurre de laiterie,1,600 gr en congélation dans sachet isotherme. Prévoir la réception rapidement si la pâte doit être gardée congelée,,12.00,Artisanaux,http://marchelocal.ch/wp-content/uploads/2023/10/pate-feuilletee-recette.jpg,unité
